Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
The EG Store,Color Block Men Round Neck Red T-Shirt,3.8,328,https://www.flipkart.com/eg-store-color-block-men-round-neck-red-t-shirt/p/itma955b401c2425?pid=TSHFGXTNP9YNGNVC&lid=LSTTSHFGXTNP9YNGNVCH2ADBO&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSagbBQNQPyc9FB1oBKMKcUuFmd9YHhnRXdeTppJzUR69MQ%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,14194,Red,Full Sleeve,Round Neck,Polycotton,Slim,1
Tripr,"Solid Men Hooded Neck Light Blue, Black, Grey T-Shirt",4,659,https://www.flipkart.com/tripr-solid-men-hooded-neck-light-blue-black-grey-t-shirt/p/itm4d739d860f21b?pid=TSHFSXGQ3BSZG7UJ&lid=LSTTSHFSXGQ3BSZG7UJ7DYBRH&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSaiYTWnHK9zhmaRKRhztwzVJTmPaGu7SlaspqIsGaVIllQ%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,31622,brand_multicolor5,Full Sleeve,Hooded Neck,Cotton Blend,Regular,1
Try This,"Solid Men Polo Neck White, Black T-Shirt",3.8,365,https://www.flipkart.com/try-solid-men-polo-neck-white-black-t-shirt/p/itm2c2c28da76aa7?pid=TSHF8UEUQPUSH9HF&lid=LSTTSHF8UEUQPUSH9HFSXT9IB&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHF8UEUQPUSH9HF.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,51663,"Black, White",Full Sleeve,Polo Neck,Cotton Blend,S,1
Rockhard,"Color Block Men Round Neck Black, Orange, Grey T-Shirt",3.9,289,https://www.flipkart.com/rockhard-color-block-men-round-neck-black-orange-grey-t-shirt/p/itm46a9be57c51cb?pid=TSHFPFTTKHFZTZCA&lid=LSTTSHFPFTTKHFZTZCAWQZHRX&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFPFTTKHFZTZCA.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,870,"Skin, Black, Orange",Half Sleeve,Round Neck,Pure Cotton,Regular,1
SCATCHITE,"Color Block Men Round Neck White, Black, Grey T-Shirt",3.6,721,https://www.flipkart.com/scatchite-color-block-men-round-neck-white-black-grey-t-shirt/p/itm797b2d3312f2d?pid=TSHFKG8ZNCFGPRJR&lid=LSTTSHFKG8ZNCFGPRJRESWDG9&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFKG8ZNCFGPRJR.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,2897,"Black,White",Short Sleeve,Round Neck,Cotton Blend,Regular Fit,1
Tripr,Abstract Men Hooded Neck Dark Blue T-Shirt,4,379,https://www.flipkart.com/tripr-abstract-men-hooded-neck-dark-blue-t-shirt/p/itmfbh24farrt3qj?pid=TSHFBDGVRGG489F2&lid=LSTTSHFBDGVRGG489F2HQONGY&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFBDGVRGG489F2.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,72899,Navy Blue,Full Sleeve,Hooded Neck,Cotton Blend,Regular,1
Tripr,"Printed Men Hooded Neck Dark Blue, White T-Shirt",3.9,616,https://www.flipkart.com/tripr-printed-men-hooded-neck-dark-blue-white-t-shirt/p/itm4890f34137ed1?pid=TSHFSH7PUANG2BUA&lid=LSTTSHFSH7PUANG2BUA8DNF6Y&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSH7PUANG2BUA.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,11395,brand_multicolor3,Full Sleeve,Hooded Neck,Cotton Blend,Regular,1
Metronaut,Solid Men Polo Neck Blue T-Shirt,3.9,399,https://www.flipkart.com/metronaut-solid-men-polo-neck-blue-t-shirt/p/itmffdhhacyugzb9?pid=TSHFFDHHWZCNSNZS&lid=LSTTSHFFDHHWZCNSNZS1HL5AS&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFFDHHWZCNSNZS.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,1359,Blue,Half Sleeve,Polo Neck,Cotton Blend,Regular,1
FastColors,"Solid Men Round Neck Red, Blue, Yellow T-Shirt",3.9,617,https://www.flipkart.com/fastcolors-solid-men-round-neck-red-blue-yellow-t-shirt/p/itm1769ad299116d?pid=TSHFSQMFK6QEMXZX&lid=LSTTSHFSQMFK6QEMXZXSVDSMO&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSQMFK6QEMXZX.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,13142,Blue Red Yellow,Full Sleeve,Round Neck,Pure Cotton,Regular,1
Rockhard,Color Block Men Round Neck Orange T-Shirt,4.1,279,https://www.flipkart.com/rockhard-color-block-men-round-neck-orange-t-shirt/p/itm807531d0e22c7?pid=TSHFS5XHZG4G7H2B&lid=LSTTSHFS5XHZG4G7H2BSDBKHJ&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFS5XHZG4G7H2B.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,662,Orange,Full Sleeve,Round Neck,Pure Cotton,Regular,1
