Brand Name,Shirt Name,Rating,Price,link,No. of ratings,Features,Colour,page
Scott International,Men's Solid Regular Fit T-Shirt,4.1 out of 5 stars,249,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A063104938KWUFT1LYJAE&url=%2FScott-Premium-Cotton-Round-T-Shirt%2Fdp%2FB06XHGGRB4%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dt-shirt%26qid%3D1594056503%26sr%3D8-1-spons%26psc%3D1&qualifier=1594464318&id=8266127733530203&widgetName=sp_atf,28 ratings,"['Care Instructions: Machine wash', 'Fit Type: regular fit', 'Color Name: Black', '100% Cotton', 'Regular fit', 'Half sleeve', 'Machine wash', 'Made in India', 'Smooth and comfortable to wear', 'Elegant stitching and superior finish', 'Available in wide range of sizes']",,1
KAVIT HUB,Men's Regular Fit T-Shirt (Pack of 3),3.7 out of 5 stars,999,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07005822HR18YVPS8LH3&url=%2FKAVIT-%25E0%25A4%25AA%25E0%25A5%2581%25E0%25A4%25B0%25E0%25A5%2581%25E0%25A4%25B7%25E0%25A5%258B%25E0%25A4%2582-%25E0%25A4%25B0%25E0%25A5%2587%25E0%25A4%2597%25E0%25A5%2581%25E0%25A4%25B2%25E0%25A4%25B0-%25E0%25A4%259F%25E0%25A5%2580-%25E0%25A4%25B6%25E0%25A4%25B0%25E0%25A5%258D%25E0%25A4%259F-%25E0%25A4%2595%25E0%25A4%25BE%25E0%25A4%25B2%25E0%25A4%25BE%2Fdp%2FB07CW45GL1%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dt-shirt%26qid%3D1594056503%26sr%3D8-2-spons%26psc%3D1&qualifier=1594464318&id=8266127733530203&widgetName=sp_atf,39 ratings,"['Care Instructions: DO NOT IRON ON PRINT', 'Fit Type: Regular Fit', 'Fabric: 100% Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Solid', 'Sleeve Type: Half Sleeve']",,1
Generic,Men's Regular Fit T-Shirt,3.4 out of 5 stars,498,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07987021260V8GQMPOX2&url=%2FMens-Regular-T-Shirt-Com42Lrg_Green-Blue_Large%2Fdp%2FB081893K39%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dt-shirt%26qid%3D1594056503%26sr%3D8-3-spons%26psc%3D1&qualifier=1594464318&id=8266127733530203&widgetName=sp_atf,18 ratings,"['Fit Type: Regular Fit', 'Fabric: Cotton', 'Neck Style: Round Neck', 'Pattern: Solid', 'Sleeve Type: Sleeveless']",Greenish,1
KAVIT HUB,Men's Regular Fit T-Shirt (Pack of 3),3.8 out of 5 stars,999,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07005262NX8SI8P8Z353&url=%2FKavit-Riders-Indian-Sleeve-X-Large%2Fdp%2FB07CW1MC7V%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dt-shirt%26qid%3D1594056503%26sr%3D8-4-spons%26psc%3D1&qualifier=1594464318&id=8266127733530203&widgetName=sp_atf,26 ratings,"['Care Instructions: DO NOT IRON ON PRINT', 'Fit Type: Regular Fit', 'Fabric: 100% Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Solid', 'Sleeve Type: Half Sleeve']",,1
AELOMART,Men's Regular Fit T-Shirt,3.9 out of 5 stars,449,https://www.amazon.in/AELO-Cotton-Shirt-Amt1020-Pn-Medium/dp/B07HJ8WKM1/ref=sr_1_5?dchild=1&keywords=t-shirt&qid=1594056503&sr=8-5,1682 ratings,"['Care Instructions: Half Sleeves, Round neck', 'Fit Type: Regular Fit', 'Fabric: Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Sleeve Type: Half Sleeve']",Olive,1
AMERICAN CREW,Men's Regular Fit Polos,4.1 out of 5 stars,599,https://www.amazon.in/AMERICAN-CREW-Charcoal-Melange-Stripes/dp/B07DPSC5BN/ref=sxin_5_ac_d_rm?ac_md=0-0-dC1zaGlydA%3D%3D-ac_d_rm&cv_ct_cx=t-shirt&dchild=1&keywords=t-shirt&pd_rd_i=B07DPSC5BN&pd_rd_r=6fe64e00-31ad-4070-ac1a-ca70a987ea96&pd_rd_w=Q4REO&pd_rd_wg=9lmwB&pf_rd_p=66a0eddc-0d01-4352-8c36-110e50afc8ce&pf_rd_r=ZN633NHYXJETT24WPYMT&psc=1&qid=1594056503&sr=1-1-fe323411-17bb-433b-b2f8-c44f2e1370d4,1021 ratings,"['Care Instructions: Machine wash cold, Tumble dry low, Wash Clothes Inside Out With Similar Color.', 'Fit Type: Regular Fit', 'Regular Fit Half Sleeve Polo is made of comfortable, Bio Washed cotton-poly pique fabric, a three-button placket, and ribbed cuffs for a classic look.', 'Fabric Composition - Cotton Poly Blend, Bio Wash Pique Fabric.', 'Pattern - Color Block Color Men’s Polo T-Shirt, Rib Collar &amp; Sleeve for Amazing Fit.', 'Classic ""American Crew"" Signature Polo with Logo Embroidery on Chest.', '“Made In India” by Socially Compliant MSME Factory. All Components Used to make this T-Shirt are Proudly ""Made in India"".']",Black & Charcoal Melange,1
Campus Sutra,Men's Regular Fit Casual Shirt,4.1 out of 5 stars,623,https://www.amazon.in/Campus-Sutra-Checkered-Regular-AZZ18SHRT_PNCHK7_M_PLN_BLMA_AZ_M/dp/B07CZDLXCP/ref=sxin_5_ac_d_rm?ac_md=1-1-c2hpcnQ%3D-ac_d_rm&cv_ct_cx=t-shirt&dchild=1&keywords=t-shirt&pd_rd_i=B07CZDLXCP&pd_rd_r=6fe64e00-31ad-4070-ac1a-ca70a987ea96&pd_rd_w=Q4REO&pd_rd_wg=9lmwB&pf_rd_p=66a0eddc-0d01-4352-8c36-110e50afc8ce&pf_rd_r=ZN633NHYXJETT24WPYMT&psc=1&qid=1594056503&sr=1-2-fe323411-17bb-433b-b2f8-c44f2e1370d4,1082 ratings,"['Care Instructions: Machine wash', 'Fit Type: regular fit', 'Brand: Campus Sutra', 'Pure Cotton Material, Comfort Fit &amp; Streachable Material', 'Outing wear', 'Stylished Shirts']",Black::Maroon,1
AMERICAN CREW,Men's Cotton T-Shirt (AC155-L_,4.0 out of 5 stars,599,https://www.amazon.in/AMERICAN-CREW-Collar-T-Shirt-Applique/dp/B01HMOLK6O/ref=sxin_5_ac_d_rm?ac_md=3-2-dHNoaXJ0IGZvciBtZW4gd2l0aCBjb2xsYXI%3D-ac_d_rm&cv_ct_cx=t-shirt&dchild=1&keywords=t-shirt&pd_rd_i=B01HMOLK6O&pd_rd_r=6fe64e00-31ad-4070-ac1a-ca70a987ea96&pd_rd_w=Q4REO&pd_rd_wg=9lmwB&pf_rd_p=66a0eddc-0d01-4352-8c36-110e50afc8ce&pf_rd_r=ZN633NHYXJETT24WPYMT&psc=1&qid=1594056503&sr=1-3-fe323411-17bb-433b-b2f8-c44f2e1370d4,635 ratings,"['Regular Fit Half Sleeve Polo is made of comfortable, Bio Washed cotton-poly pique fabric, a three-button placket, and ribbed cuffs for a classic look.', 'Fabric Composition - Cotton 60% Poly 40% Blend, Bio Wash Pique Fabric.', 'Pattern - Solid Color Men’s Polo T-Shirt, Rib Collar &amp; Sleeve for Amazing Fit.', 'Classic ""American Crew"" Signature Polo with Logo Embroidery on Chest.', '“Made In India” by Socially Compliant MSME Factory. All Components Used to make this T-Shirt are Proudly ""Made in India"".']",Yellow,1
WearIndia,Unisex Dancing Marshmello Melloween Grey Color Black Printed Cotton Hoodies with Kangaroo Pocket,4.0 out of 5 stars,799,https://www.amazon.in/WearIndia-Dancing-Marshmello-Melloween-Kangaroo/dp/B08263YH5M/ref=sxin_5_ac_d_rm?ac_md=4-3-amFja2V0-ac_d_rm&cv_ct_cx=t-shirt&dchild=1&keywords=t-shirt&pd_rd_i=B08263YH5M&pd_rd_r=6fe64e00-31ad-4070-ac1a-ca70a987ea96&pd_rd_w=Q4REO&pd_rd_wg=9lmwB&pf_rd_p=66a0eddc-0d01-4352-8c36-110e50afc8ce&pf_rd_r=ZN633NHYXJETT24WPYMT&psc=1&qid=1594056503&sr=1-4-fe323411-17bb-433b-b2f8-c44f2e1370d4,94 ratings,"['Care Instructions: Wash in cold water', 'Fit Type: Regular Fit', 'Fit Type: Regular Fit', 'Main material: 100% Cotton , 320GSM (Bio-Washed &amp; Pre-Shrunk for Minimum shrinkage)', 'Actual Products color may vary with product due to monitor settings', 'Wash care: machine wash cold, tumble dry low, do not bleach. Check our size chart to get your best fit', 'Sleeve type: full sleeve sweatshirts, neck type: hooded sweatshirt, fitting type: regular fit hoodies, occasion: casual']",Yellow,1
Maniac,Men's Regular Fit T-Shirt,4.0 out of 5 stars,367,https://www.amazon.in/Maniac-Cotton-T-Shirt-MEN-SS18-THUMB-RING-BLACK-DGREY-07-M-Medium/dp/B07B2WLLV1/ref=sxin_5_ac_d_rm?ac_md=5-4-dC1zaGlydCBmdWxsIHNsZWV2ZSBmb3IgbWVuIHN0eWxpc2g%3D-ac_d_rm&cv_ct_cx=t-shirt&dchild=1&keywords=t-shirt&pd_rd_i=B07B2WLLV1&pd_rd_r=6fe64e00-31ad-4070-ac1a-ca70a987ea96&pd_rd_w=Q4REO&pd_rd_wg=9lmwB&pf_rd_p=66a0eddc-0d01-4352-8c36-110e50afc8ce&pf_rd_r=ZN633NHYXJETT24WPYMT&psc=1&qid=1594056503&sr=1-5-fe323411-17bb-433b-b2f8-c44f2e1370d4,743 ratings,"[""Care Instructions: Don't Bleach"", 'Fit Type: Slim Fit', 'Fabric: Cotton', 'Style: Regular', 'Neck Style: Round Neck', 'Pattern: Camouflage', 'Sleeve Type: Full Sleeve']",Black,1
