Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Young Trendz,Abstract Women Round Neck Black T-Shirt,4.0,249.0,https://www.flipkart.com/young-trendz-abstract-women-round-neck-black-t-shirt/p/itmf3yvpywg7ckbp?pid=TSHEX7GEWGXEKFNT&lid=LSTTSHEX7GEWGXEKFNTYHYSHE&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owMuqMpBCcqBWDywqU6pckB0906arGXSpCoHiyf4bctfCA%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,236,Black,Full Sleeve,Round Neck,Cotton Blend,Smart Fit,1
SharkTribe,Solid Women Turtle Neck Red T-Shirt,4.2,399.0,https://www.flipkart.com/sharktribe-solid-women-turtle-neck-red-t-shirt/p/itm867f9132687de?pid=TSHFAS7YKHH2J7XN&lid=LSTTSHFAS7YKHH2J7XN0PGERF&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owNm3Gk1gQj6MCnQyihm3NrKHj%2B%2Bs3BE7rDFCodCeLta5A%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,1552,Burgandy,Full Sleeve,Turtle Neck,Cotton Blend,Regular,1
TARGET SUCCESS,Solid Women Round Neck Blue T-Shirt,3.9,169.0,https://www.flipkart.com/target-success-solid-women-round-neck-blue-t-shirt/p/itmff19d183c3562?pid=TSHFS732KTWXFRYR&lid=LSTTSHFS732KTWXFRYRQBCQZB&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFS732KTWXFRYR.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,2347,MHAROON,Half Sleeve,Round Neck,Cotton Blend,SLIM FIT,1
Elepants,Solid Women Round Neck Yellow T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-yellow-t-shirt/p/itm64481019c5774?pid=TSHFRKP7X96SCBJF&lid=LSTTSHFRKP7X96SCBJFGMFYRA&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFRKP7X96SCBJF.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,MUSTARD,Half Sleeve,Round Neck,Hosiery,SLIM,1
Metronaut,"Printed Women Henley Neck White, Pink T-Shirt",4.2,295.0,https://www.flipkart.com/metronaut-printed-women-henley-neck-white-pink-t-shirt/p/itm29aed4f34def0?pid=TSHF48KAEAMEZUFU&lid=LSTTSHF48KAEAMEZUFUHM0MSL&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHF48KAEAMEZUFU.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,20102,"White, Pink",Half Sleeve,Henley Neck,Pure Cotton,Slim Fit,1
Young Trendz,"Typography Women Round Neck Pink, Yellow T-Shirt",3.7,588.0,https://www.flipkart.com/young-trendz-typography-women-round-neck-pink-yellow-t-shirt/p/itm139f5cafc8070?pid=TSHFSK4SHSFCZQDX&lid=LSTTSHFSK4SHSFCZQDX8PJGCG&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFSK4SHSFCZQDX.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,148,MUSTRAD-PINK,Half Sleeve,Round Neck,Pure Cotton,Regular Fit,1
Elepants,Solid Women Round Neck Dark Green T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-dark-green-t-shirt/p/itme952ea6f83ecf?pid=TSHFSK48ADSVHJ9H&lid=LSTTSHFSK48ADSVHJ9HUNLNHZ&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFSK48ADSVHJ9H.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,OLIVE,Half Sleeve,Round Neck,Hosiery,SLIM,1
Elepants,Solid Women Round Neck Red T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-red-t-shirt/p/itm4fe1738c4519d?pid=TSHFRKP7P4HKGMZZ&lid=LSTTSHFRKP7P4HKGMZZPEHCA1&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFRKP7P4HKGMZZ.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,RED,Half Sleeve,Round Neck,Hosiery,SLIM,1
Elepants,Solid Women Round Neck Light Green T-Shirt,4.1,299.0,https://www.flipkart.com/elepants-solid-women-round-neck-light-green-t-shirt/p/itmcafb37b03d227?pid=TSHFRKP7FNH29PYR&lid=LSTTSHFRKP7FNH29PYRY1KWL3&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFRKP7FNH29PYR.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4028,MUSTARD,Half Sleeve,Round Neck,Hosiery,SLIM,1
LAYA,Printed Women Round Neck Multicolor T-Shirt,4.1,629.0,https://www.flipkart.com/laya-printed-women-round-neck-multicolor-t-shirt/p/itm27209b507ae72?pid=TSHFFMRJEQSXVJPH&lid=LSTTSHFFMRJEQSXVJPHWEVSKD&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFFMRJEQSXVJPH.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,569,"Black, Pink, Yellow",Short Sleeve,Round Neck,Pure Cotton,Regular,1
